,word,number
0,developmentforany,4
1,foranyplatform,4
2,Thankyoufor,2
3,ReSharperC++,2
4,EduKotlinEdu,2
5,EduPythonEdu,2
6,EduScalaEdu,2
7,ToolboxAppA,2
8,AppAcontrol,2
9,Acontrolpanel,2
10,controlpanelfor,2
11,panelforyour,2
12,foryourtools,2
13,yourtoolsand,2
14,toolsandprojects,2
15,KotlinProgramminglanguage,2
16,Programminglanguagefor,2
17,languageforJVM,2
18,forJVM&,2
19,JVM&Android,2
20,MPSCreateyour,2
21,Createyourown,2
22,yourowndomain,2
23,owndomain-,2
24,domain-specific,2
25,-specificlanguage,2
26,C++Tools,2
27,++ToolsTools,2
28,ToolsToolsfor,2
29,ToolsforC,2
30,forC/,2
31,C/C,2
32,/C++,2
33,C++development,2
34,++developmentfor,2
35,ForBusinessWide,2
36,BusinessWiderange,2
37,Widerangeof,2
38,rangeoftools,2
39,oftools.,2
40,tools.All,2
41,.Allmajor,2
42,Allmajortechnologies,2
43,majortechnologiescovered,2
44,GameDevelopmentTools,2
45,DevelopmentToolsfor,2
46,Toolsforgame,2
47,forgamedevelopment,2
48,gamedevelopmentfor,2
49,DevOpsToolsand,2
50,Toolsandintegrations,2
51,andintegrationsfor,2
52,integrationsforany,2
53,foranyinfrastructure,2
54,EducationProductsto,2
55,Productstolearn,2
56,tolearnand,2
57,learnandteach,2
58,andteachprogramming,2
59,SalesSupportOrders,2
60,"SupportOrders,",2
61,"Orders,payments",2
62,ProductSupportTech,2
63,SupportTechsupport,2
64,"Techsupport,",2
65,"support,docs",2
66,"ResourcesNewsletters,",2
67,"Newsletters,webinars",2
68,EducationForstudents,2
69,Forstudentsand,2
70,studentsandteachers,2
71,OpenSourceProjects,2
72,SourceProjectsand,2
73,Projectsandsupport,2
74,"ResearchScientific,",2
75,"Scientific,marketing",2
76,",marketingresearch",2
77,AboutJetBrainsCompany,2
78,"JetBrainsCompany,",2
79,"Company,people",2
80,"ContactsOffices,",2
81,"Offices,partners",2
82,Press&Logos,2
83,&LogosNews,2
84,"LogosNews,",2
85,"News,brand",2
86,",brandassets",2
87,"CareersJobs,",2
88,"Jobs,culture",2
89,youfordownloading,1
90,fordownloadingPyCharm,1
91,downloadingPyCharm!,1
92,PyCharm!Tools,1
93,!ToolsLanguages,1
94,ToolsLanguagesSolutions,1
95,LanguagesSolutionsSupport,1
96,SolutionsSupportStore,1
97,SupportStoreAppCode,1
98,StoreAppCodeAppCode,1
99,AppCodeAppCodeCLion,1
100,AppCodeCLionCLion,1
101,CLionCLionDatalore,1
102,CLionDataloreDatalore,1
103,DataloreDataloreDataGrip,1
104,DataloreDataGripDataGrip,1
105,DataGripDataGripGoLand,1
106,DataGripGoLandGoLand,1
107,GoLandGoLandIntelliJ,1
108,GoLandIntelliJIDEA,1
109,IntelliJIDEAIntelliJ,1
110,IDEAIntelliJIDEA,1
111,IntelliJIDEAPhpStorm,1
112,IDEAPhpStormPhpStorm,1
113,PhpStormPhpStormPyCharm,1
114,PhpStormPyCharmPyCharm,1
115,PyCharmPyCharmRider,1
116,PyCharmRiderRider,1
117,RiderRiderRubyMine,1
118,RiderRubyMineRubyMine,1
119,RubyMineRubyMineWebStorm,1
120,RubyMineWebStormWebStorm,1
121,WebStormWebStormReSharper,1
122,WebStormReSharperReSharper,1
123,ReSharperReSharperRider,1
124,ReSharperRiderRider,1
125,RiderRiderReSharper,1
126,RiderReSharperC,1
127,C++ReSharper,1
128,++ReSharperC,1
129,C++dotCover,1
130,++dotCoverdotCover,1
131,dotCoverdotCoverdotMemory,1
132,dotCoverdotMemorydotMemory,1
133,dotMemorydotMemorydotPeek,1
134,dotMemorydotPeekdotPeek,1
135,dotPeekdotPeekdotTrace,1
136,dotPeekdotTracedotTrace,1
137,dotTracedotTraceTeamCity,1
138,dotTraceTeamCityTeamCity,1
139,TeamCityTeamCityUpsource,1
140,TeamCityUpsourceUpsource,1
141,UpsourceUpsourceYouTrack,1
142,UpsourceYouTrackYouTrack,1
143,YouTrackYouTrackHub,1
144,YouTrackHubHub,1
145,HubHubJava,1
146,HubJavaEdu,1
147,JavaEduJava,1
148,EduJavaEdu,1
149,JavaEduKotlin,1
150,KotlinEduKotlin,1
151,KotlinEduPython,1
152,PythonEduPython,1
153,PythonEduScala,1
154,ScalaEduScala,1
155,ScalaEduToolbox,1
156,EduToolboxApp,1
157,andprojectsToolbox,1
158,projectsToolboxApp,1
159,andprojectsKotlin,1
160,projectsKotlinProgramming,1
161,&AndroidKotlin,1
162,AndroidKotlinProgramming,1
163,&AndroidMPS,1
164,AndroidMPSCreate,1
165,specificlanguageMPS,1
166,languageMPSCreate,1
167,specificlanguageC,1
168,languageC++,1
169,anyplatformC,1
170,platformC++,1
171,anyplatformFor,1
172,platformForBusiness,1
173,technologiescoveredFor,1
174,coveredForBusiness,1
175,technologiescoveredGame,1
176,coveredGameDevelopment,1
177,anyplatformGame,1
178,platformGameDevelopment,1
179,anyplatformDevOps,1
180,platformDevOpsTools,1
181,anyinfrastructureDevOps,1
182,infrastructureDevOpsTools,1
183,anyinfrastructureEducation,1
184,infrastructureEducationProducts,1
185,teachprogrammingEducation,1
186,programmingEducationProducts,1
187,teachprogrammingSales,1
188,programmingSalesSupport,1
189,",paymentsSales",1
190,paymentsSalesSupport,1
191,",paymentsProduct",1
192,paymentsProductSupport,1
193,",docsProduct",1
194,docsProductSupport,1
195,",docsResources",1
196,docsResourcesNewsletters,1
197,",webinarsResources",1
198,webinarsResourcesNewsletters,1
199,",webinarsEducation",1
200,webinarsEducationFor,1
201,andteachersEducation,1
202,teachersEducationFor,1
203,andteachersOpen,1
204,teachersOpenSource,1
205,andsupportOpen,1
206,supportOpenSource,1
207,andsupportResearch,1
208,supportResearchScientific,1
209,marketingresearchResearch,1
210,researchResearchScientific,1
211,marketingresearchAbout,1
212,researchAboutJetBrains,1
213,",peopleAbout",1
214,peopleAboutJetBrains,1
215,",peopleContacts",1
216,peopleContactsOffices,1
217,",partnersContacts",1
218,partnersContactsOffices,1
219,",partnersPress",1
220,partnersPress&,1
221,brandassetsPress,1
222,assetsPress&,1
223,brandassetsCareers,1
224,assetsCareersJobs,1
225,",cultureCareers",1
226,cultureCareersJobs,1
227,",culturePyCharm",1
228,culturePyCharm2018,1
229,PyCharm2018.,1
230,2018.3,1
231,.3Copyright,1
232,3Copyright©,1
233,Copyright©2000,1
234,©2000–,1
235,2000–2018,1
236,–2018JetBrains,1
237,2018JetBrainss,1
238,JetBrainss.,1
239,s.r,1
240,.r.,1
241,r.o,1
242,.o.,1
243,o.Developed,1
244,.Developedwith,1
245,Developedwithdrive,1
246,withdriveand,1
247,driveandIntelliJ,1
248,andIntelliJIDEA,1
249,IntelliJIDEAAbout,1
250,IDEAAboutJetBrains,1
251,AboutJetBrainsFollow,1
252,JetBrainsFollowJetBrains,1
253,FollowJetBrainsGetting,1
254,JetBrainsGettingStarted,1
255,GettingStartedNew,1
256,StartedNewto,1
257,NewtoPyCharm,1
258,toPyCharm?,1
259,PyCharm?Try,1
260,?Tryother,1
261,Tryotherdeveloper,1
262,otherdevelopertools,1
263,developertoolsby,1
264,toolsbyJetBrains,1
265,byJetBrainsYour,1
266,JetBrainsYourdownload,1
267,Yourdownloadshould,1
268,downloadshouldstart,1
269,shouldstartshortly,1
270,startshortly.,1
271,shortly.If,1
272,.Ifit,1
273,Ifitdoesn,1
274,itdoesn',1
275,doesn't,1
276,"'t,",1
277,"t,please",1
278,",pleaseuse",1
279,pleaseusedirect,1
280,usedirectlink,1
281,directlink.,1
282,link.Download,1
283,.Downloadand,1
284,Downloadandverify,1
285,andverifythe,1
286,verifythefile,1
287,thefile',1
288,file's,1
289,'sSHA,1
290,sSHA-,1
291,SHA-256,1
292,-256checksum,1
293,256checksum.,1
294,checksum.Send,1
295,.Sendme,1
296,Sendmehelpful,1
297,mehelpfuleducational,1
298,helpfuleducationalmaterials,1
299,educationalmaterialsduring,1
300,materialsduringmy,1
301,duringmyevaluation,1
302,myevaluationperiod,1
303,evaluationperiodThank,1
304,periodThankyou,1
305,youfortaking,1
306,fortakingthe,1
307,takingthetime,1
308,thetimeto,1
309,timetosubmit,1
310,tosubmitthis,1
311,submitthisform,1
312,thisform.,1
313,form.The,1
314,.Themost,1
315,Themostintelligent,1
316,mostintelligentJava,1
317,intelligentJavaIDE,1
318,JavaIDEThe,1
319,IDEThesmartest,1
320,ThesmartestJavaScript,1
321,smartestJavaScriptIDE,1
322,JavaScriptIDEMany,1
323,IDEManydatabases,1
324,"Manydatabases,",1
325,"databases,one",1
326,",onetool",1
327,onetoolPowerful,1
328,toolPowerfulContinuous,1
329,PowerfulContinuousIntegration,1
330,ContinuousIntegrationout,1
331,Integrationoutof,1
332,outofthe,1
333,ofthebox,1
334,theboxIssue,1
335,boxIssuetracker,1
336,Issuetrackerdesigned,1
337,trackerdesignedfor,1
338,designedfordevelopment,1
339,fordevelopmentteams,1
340,developmentteamsCode,1
341,teamsCodereview,1
342,"Codereview,",1
343,"review,team",1
344,",teamcollaboration",1
345,teamcollaborationand,1
346,collaborationandanalytics,1
347,and,1
348,analytics,1
